LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
OECD,QGDP,TOT,PC_CHGPP,A,1962,5.698646727
OECD,QGDP,TOT,PC_CHGPP,A,1963,5.200717178
OECD,QGDP,TOT,PC_CHGPP,A,1964,6.37619057
OECD,QGDP,TOT,PC_CHGPP,A,1965,5.352720089
OECD,QGDP,TOT,PC_CHGPP,A,1966,5.754630045
OECD,QGDP,TOT,PC_CHGPP,A,1967,3.961951414
OECD,QGDP,TOT,PC_CHGPP,A,1968,5.920233971
OECD,QGDP,TOT,PC_CHGPP,A,1969,5.56980912
OECD,QGDP,TOT,PC_CHGPP,A,1970,3.937803887
OECD,QGDP,TOT,PC_CHGPP,A,1971,3.704714442
OECD,QGDP,TOT,PC_CHGPP,A,1972,5.470208159
OECD,QGDP,TOT,PC_CHGPP,A,1973,6.10650432
OECD,QGDP,TOT,PC_CHGPP,A,1974,1.053895321
OECD,QGDP,TOT,PC_CHGPP,A,1975,0.452310442
OECD,QGDP,TOT,PC_CHGPP,A,1976,4.910378868
OECD,QGDP,TOT,PC_CHGPP,A,1977,3.677522218
OECD,QGDP,TOT,PC_CHGPP,A,1978,4.4228693
OECD,QGDP,TOT,PC_CHGPP,A,1979,3.8982392
OECD,QGDP,TOT,PC_CHGPP,A,1980,1.280919489
OECD,QGDP,TOT,PC_CHGPP,A,1981,2.269030811
OECD,QGDP,TOT,PC_CHGPP,A,1982,0.203347374
OECD,QGDP,TOT,PC_CHGPP,A,1983,2.830138802
OECD,QGDP,TOT,PC_CHGPP,A,1984,4.777396329
OECD,QGDP,TOT,PC_CHGPP,A,1985,3.85798969
OECD,QGDP,TOT,PC_CHGPP,A,1986,2.895619456
OECD,QGDP,TOT,PC_CHGPP,A,1987,3.608084915
OECD,QGDP,TOT,PC_CHGPP,A,1988,4.595437853
OECD,QGDP,TOT,PC_CHGPP,A,1989,3.861077807
OECD,QGDP,TOT,PC_CHGPP,A,1990,3.213614654
OECD,QGDP,TOT,PC_CHGPP,A,1991,1.458443745
OECD,QGDP,TOT,PC_CHGPP,A,1992,2.256545803
OECD,QGDP,TOT,PC_CHGPP,A,1993,1.493557751
OECD,QGDP,TOT,PC_CHGPP,A,1994,3.02801647
OECD,QGDP,TOT,PC_CHGPP,A,1995,2.534311162
OECD,QGDP,TOT,PC_CHGPP,A,1996,3.190404771
OECD,QGDP,TOT,PC_CHGPP,A,1997,3.664845282
OECD,QGDP,TOT,PC_CHGPP,A,1998,2.884097962
OECD,QGDP,TOT,PC_CHGPP,A,1999,3.276834497
OECD,QGDP,TOT,PC_CHGPP,A,2000,4.113020698
OECD,QGDP,TOT,PC_CHGPP,A,2001,1.346053462
